Date,Temperature (Â°F),Temperature (K)
194812,84.6,302.2222222
194912,84,301.8888889
195012,83.2,301.4444444
195112,83.6,301.6666667
195212,84.3,302.0555556
195312,83.8,301.7777778
195412,83.3,301.5
195512,83.5,301.6111111
195612,83.4,301.5555556
195712,83.9,301.8333333
195812,82.4,301
195912,83.2,301.4444444
196012,83,301.3333333
196112,83.6,301.6666667
196212,83,301.3333333
196312,82.6,301.1111111
196412,83.2,301.4444444
196512,83.7,301.7222222
196612,81.8,300.6666667
196712,83.7,301.7222222
196812,81.8,300.6666667
196912,82,300.7777778
197012,82.4,301
197112,83.6,301.6666667
197212,83.3,301.5
197312,83.2,301.4444444
197412,84.6,302.2222222
197512,84.3,302.0555556
197612,82.4,301
197712,82.7,301.1666667
197812,82.7,301.1666667
197912,83,301.3333333
198012,83.3,301.5
198112,83.3,301.5
198212,84.1,301.9444444
198312,82.7,301.1666667
198412,82.4,301
198512,83.2,301.4444444
198612,83.6,301.6666667
198712,83.2,301.4444444
198812,83.1,301.3888889
198912,84.4,302.1111111
199012,84.4,302.1111111
199112,84,301.8888889
199212,83.2,301.4444444
199312,83.5,301.6111111
199412,83.9,301.8333333
199512,83.4,301.5555556
199612,83,301.3333333
199712,84.3,302.0555556
199812,84.6,302.2222222
199912,83.9,301.8333333
200012,83.9,301.8333333
200112,83.8,301.7777778
200212,84.5,302.1666667
200312,84.4,302.1111111
200412,83.8,301.7777778
200512,83.7,301.7222222
200612,84.2,302
200712,84.7,302.2777778
200812,83.9,301.8333333
200912,84.3,302.0555556
201012,82.6,301.1111111
201112,85.3,302.6111111
201212,84,301.8888889
201312,84.4,302.1111111
201412,84.6,302.2222222
201512,85.6,302.7777778
201612,84.6,302.2222222
201712,85.9,302.9444444
201812,84.5,302.1666667
201912,85.9,302.9444444
202012,85.8,302.8888889