Date,Temperature (Â°F)
194812,84.6
194912,84
195012,83.2
195112,83.6
195212,84.3
195312,83.8
195412,83.3
195512,83.5
195612,83.4
195712,83.9
195812,82.4
195912,83.2
196012,83
196112,83.6
196212,83
196312,82.6
196412,83.2
196512,83.7
196612,81.8
196712,83.7
196812,81.8
196912,82
197012,82.4
197112,83.6
197212,83.3
197312,83.2
197412,84.6
197512,84.3
197612,82.4
197712,82.7
197812,82.7
197912,83
198012,83.3
198112,83.3
198212,84.1
198312,82.7
198412,82.4
198512,83.2
198612,83.6
198712,83.2
198812,83.1
198912,84.4
199012,84.4
199112,84
199212,83.2
199312,83.5
199412,83.9
199512,83.4
199612,83
199712,84.3
199812,84.6
199912,83.9
200012,83.9
200112,83.8
200212,84.5
200312,84.4
200412,83.8
200512,83.7
200612,84.2
200712,84.7
200812,83.9
200912,84.3
201012,82.6
201112,85.3
201212,84
201312,84.4
201412,84.6
201512,85.6
201612,84.6
201712,85.9
201812,84.5
201912,85.9
202012,85.8